date,station,sst
2026-09-02,Ashkelon_IL,30.17
2026-09-02,Bardawil_off,29.99
2026-09-02,Damietta_mouth,29.32
2026-09-02,El_Arish_EG,29.83
2026-09-02,Gaza_City,30.11
2026-09-02,Hadera_IL,30.01
2026-09-02,Haifa_IL,30.37
2026-09-02,Nahariya_IL,29.91
2026-09-02,Open_sea_ref,29.11
2026-09-02,Port_Said_EG,29.79
2026-09-02,Rafah_Gaza,30.21
2026-09-02,Rosetta_mouth,28.81
2026-09-02,Tel_Aviv_IL,29.57
2026-09-03,Ashdod_IL,30.43
2026-09-03,Ashkelon_IL,30.28
2026-09-03,Bardawil_off,30.33
2026-09-03,Damietta_mouth,30.04
2026-09-03,El_Arish_EG,30.23
2026-09-03,Gaza_City,30.4
2026-09-03,Hadera_IL,30.03
2026-09-03,Haifa_IL,30.14
2026-09-03,Nahariya_IL,29.7
2026-09-03,Open_sea_ref,29.19
2026-09-03,Port_Said_EG,30.49
2026-09-03,Rafah_Gaza,30.16
2026-09-03,Rosetta_mouth,28.84
2026-09-03,Tel_Aviv_IL,30.6
2026-09-04,Ashdod_IL,29.98
2026-09-04,Ashkelon_IL,30.29
2026-09-04,Bardawil_off,29.95
2026-09-04,Damietta_mouth,29.66
2026-09-04,El_Arish_EG,29.89
2026-09-04,Gaza_City,30.13
2026-09-04,Hadera_IL,29.94
2026-09-04,Haifa_IL,29.93
2026-09-04,Nahariya_IL,29.62
2026-09-04,Open_sea_ref,28.56
2026-09-04,Port_Said_EG,30.05
2026-09-04,Rafah_Gaza,29.7
2026-09-04,Rosetta_mouth,28.9
2026-09-04,Tel_Aviv_IL,30.39
2026-09-05,Ashdod_IL,30.1
2026-09-05,Ashkelon_IL,30.38
2026-09-05,Bardawil_off,30.31
2026-09-05,Damietta_mouth,29.77
2026-09-05,El_Arish_EG,30.32
2026-09-05,Gaza_City,30.14
2026-09-05,Hadera_IL,30.27
2026-09-05,Haifa_IL,29.89
2026-09-05,Nahariya_IL,30.32
2026-09-05,Open_sea_ref,28.8
2026-09-05,Port_Said_EG,30.04
2026-09-05,Rafah_Gaza,30.06
2026-09-05,Rosetta_mouth,28.81
2026-09-05,Tel_Aviv_IL,30.57
2026-09-06,Ashdod_IL,30.24
2026-09-06,Ashkelon_IL,30.31
2026-09-06,Bardawil_off,30.0
2026-09-06,Damietta_mouth,29.65
2026-09-06,El_Arish_EG,30.02
2026-09-06,Gaza_City,30.13
2026-09-06,Hadera_IL,29.99
2026-09-06,Haifa_IL,29.86
2026-09-06,Nahariya_IL,30.01
2026-09-06,Open_sea_ref,28.68
2026-09-06,Port_Said_EG,29.98
2026-09-06,Rafah_Gaza,30.02
2026-09-06,Rosetta_mouth,28.91
2026-09-06,Tel_Aviv_IL,30.26
2026-09-07,Ashdod_IL,30.36
2026-09-07,Ashkelon_IL,30.38
2026-09-07,Bardawil_off,29.95
2026-09-07,Damietta_mouth,29.56
2026-09-07,El_Arish_EG,29.64
2026-09-07,Gaza_City,30.06
2026-09-07,Hadera_IL,30.01
2026-09-07,Haifa_IL,29.77
2026-09-07,Nahariya_IL,29.52
2026-09-07,Open_sea_ref,28.79
2026-09-07,Port_Said_EG,29.67
2026-09-07,Rafah_Gaza,29.73
2026-09-07,Rosetta_mouth,28.84
2026-09-07,Tel_Aviv_IL,30.31
2026-09-08,Ashdod_IL,30.3
2026-09-08,Ashkelon_IL,29.84
2026-09-08,Bardawil_off,30.07
2026-09-08,Damietta_mouth,29.11
2026-09-08,El_Arish_EG,30.02
2026-09-08,Gaza_City,29.83
2026-09-08,Hadera_IL,29.5
2026-09-08,Haifa_IL,29.48
2026-09-08,Nahariya_IL,29.43
2026-09-08,Open_sea_ref,28.9
2026-09-08,Port_Said_EG,29.63
2026-09-08,Rafah_Gaza,30.04
2026-09-08,Rosetta_mouth,28.51
2026-09-08,Tel_Aviv_IL,30.02
2026-09-09,Ashdod_IL,30.43
2026-09-09,Ashkelon_IL,30.43
2026-09-09,Bardawil_off,30.18
2026-09-09,Damietta_mouth,29.48
2026-09-09,El_Arish_EG,30.29
2026-09-09,Gaza_City,30.2
2026-09-09,Hadera_IL,30.02
2026-09-09,Haifa_IL,29.96
2026-09-09,Nahariya_IL,29.57
2026-09-09,Open_sea_ref,29.11
2026-09-09,Port_Said_EG,29.96
2026-09-09,Rafah_Gaza,30.34
2026-09-09,Rosetta_mouth,28.62
2026-09-09,Tel_Aviv_IL,30.58
2026-09-10,Ashdod_IL,31.01
2026-09-10,Ashkelon_IL,31.01
2026-09-10,Bardawil_off,30.39
2026-09-10,Damietta_mouth,29.52
2026-09-10,El_Arish_EG,30.77
